customer_name,company_id,gst_no
A R Infra,1,27DJDPP3235D1ZE
Aaryan Enterprises,2,27AKZPM7874K1ZW
Ab Petrochem Pvt Ltd,3,27AAICA4000B1ZG
Aberdare Technologies Private Limited,4,27AAECH4625H1ZM
Abhay Abhikaran,5,23ACCPP7221Q1ZC
Abi Motors,6,33AAVFA0159M1Z5
Abi Showatech India Private Limited,7,33AABCA8160B1Z9
Aceinfraline,8,27ABMFA4125F1ZM
Acute Instruments Pvt Ltd,9,27AAJCA8655M1ZZ
Adichi Infra India Private Ltd,10,09ABBCA6440P1ZA
Adipro India Private Limited,11,27AAYCA6121F1ZI
Aditya Environmental Services Private Limited,12,27AADCA4730B1Z8
Aditya Industries,13,27AAQFA9113J1Z5
Adsun Offshore Diving Contractors Pvt. Ltd.,14,27AACCA9673L1Z4
Advanced Sys-Tek Limited,15,24AABCD3608F1Z6
Aeroflon Engineers Private Limited,16,24AABCA3065H1Z2
Afton Chemical India Private Limited,17,27AADCP3112G1ZT
Aif Services Corporation (Opc) Private Limited,18,27AAZCA5105C1ZP
Aj Global,19,27AACPJ4660P1ZB
Ajantha Mining Private Limited,20,21AAXCA1520F1Z2
Alpar Industries,21,27AAFFA0307D1Z7
Altrol Petrochem Private Limited,22,27AAWCA0868P1ZP
Amara Raja Energy & Mobility Limited,23,36AABCA9264E1ZQ
Ameet Lubricants And Chemicals,24,27AAIPN0990Q1ZY
Amol Oils,25,27AAMPB2415Q1ZI
Anand Engineers Pvt Ltd,26,27AAACA9591R1ZT
Anand Green Power,27,27HFAPS4342F1ZD
Anand Trucking Private Limited,28,02AALCA2784K2ZI
Anand Trucking Private Limited,28,02AALCA2784K2ZI
Andhra Pradesh Granite Midwest Private Limited,29,37AAGCA3570N1ZB
Arabian Petroleum Ltd,30,27AAHCA6383Q1ZW
Arc Offshore India Private Limited,31,37AALCA9587A1ZC
Arihant Lubricants Pvt.Ltd.,32,27AABCA4734H1ZU
Ark Autocorp Pvt Ltd,33,08AALCA0650L1ZK
Arpit Oil Industries Private Limited,34,06AAWCA1118Q1Z6
Artex Logistics Private Limited,35,29AAWCA0630P1Z1
Ashok Leyland Limited,36,33AAACA4651L1ZT
Ast Environment Solutions Private Limited,37,24AAWCA4684R1ZL
Atc Motors,38,27AAWFA7771N1ZF
Attaquant Chemical Private Limited,39,27AAUCA0709P1Z3
